STAINLESS STEEL 10-PC. COOKWARE SET,$879.99,"All-Clad's dedication to top-quality cookware is apparent in the durable mirror-polished 18/10 stainless steel construction and use of cooking highly heat conducive surfaces that don't react with food, so you get exactly the flavors you want."
"PRECISELY, MY BROW PENCIL ULTRA-FINE SHAPE & DEFINE",$24.00,"NOW available in 12 shades to flatter every hair color, transform shapeless, undefined brows with just a few strokes of Benefit's bestselling precisely, my brow pencil. The custom ultra-fine tip makes adding detailed definition to your brows easy, by drawing incredibly natural-looking, hair like strokes that last up to 12-hours.* This rich, waterproof** eyebrow pencil is ideal for spot filling sparse or over-tweezed areas, and the smudge-proof formula is firm enough for precise application, yet glides on effortlessly to bring symmetry to your brows and your entire face."
RETIRE BOOTIES,$129.00,Marc Fisher's Retire booties dress up any look with a sleek profile and chic pointed toe lofted on a chunky block heel.
ESQUIRE MEN'S BLACK BRAIDED LEATHER ANCHOR BRACELET IN STAINLESS STEEL,$175.00,"Sporting a smart nautical look, this Esquire men's bracelet is designed with double braided black leather and a shiny anchor clasp."
"ADVANCED HOME HARD-ANODIZED 12"" NONSTICK ULTIMATE PAN",$79.99,"Get everyday convenience and durability that lasts with the even-heating, easy cleaning Anolon Advanced Home Hard-Anodized 12"" Ultimate Pan."
HELLO HAPPY FLAWLESS BRIGHTENING FOUNDATION,$30.00,"Brighten up, baby! Happiness is a brighter, hydrated, flawless-looking complexion. Benefit's NEW Hello Happy Flawless Brightening Medium-Coverage Liquid Foundation SPF 15 feels lightweight, looks natural and is virtually undetectable on skin."
"MILEY CHOP OUT WEDGES, CREATED FOR MACY'S",$59.50,Get the look you've been dying for with the Miley chop out wedges by American Rag.
"MULTICOLOR TIGER'S EYE BEAD BOLO BRACELET IN 14K GOLD-PLATED STERLING SILVER, CREATED FOR MACY'S",$500.00,"Simple, smart and stylish. This men's multicolor tiger's eye bracelet with black nylon cord, spans your casual and business looks; from Esquire Men's Jewelry."
ESSENTIALS NONSTICK 10-PC. COOKWARE SET,$499.99,"Upgrade your cookware to the superior nonstick aluminum performance of this All-Clad 10-piece set. Designed for easy cleanup and storage, it includes the basic pots and pans every great kitchen needs plus two bonus silicone trivets."
MEN'S BAROQUE CUFF LINKS & STUD SET,$45.00,"An exquisite finish for your formal or office look, this set from Perry Ellis surrounds a smooth center with a circle of delicately etch silver-tone metal."
